case,input_y_mm,output_x_mm,output_y_mm,bar_error_mm,ground_error_mm,drive_error_mm,branch_error_mm,inverse_error_mm2,collinearity_error_mm2,output_error_mm,straight_error_mm
broken,-30,89.77004875577954,-49.05489595770579,3.2359537271986483e-10,7e-19,3.552713678800501e-15,1.3707790458283853e-10,4.75210981676355e-09,1.7167167243314907e-08,4.0052604951322685e-10,1.6585226727918894
broken,-29,89.81143532135548,-46.23642672820771,1.1566214652702911e-10,1.03e-18,0.0,4.305178435970447e-11,1.8808350432664156e-09,6.201389624038711e-09,1.3304047810060059e-10,1.6171361072159556
broken,-28,89.84719350829255,-43.65493977142198,4.693845312431222e-11,7e-19,0.0,1.538325022920617e-11,8.312781574204564e-10,2.5411281967535615e-09,5.087090460366376e-11,1.5813779202788822
broken,-27,89.87849921536638,-41.26248567562497,2.1032064978498966e-11,7e-19,0.0,6.0538241086760536e-12,4.019966581836343e-10,1.1505107977427542e-09,2.1741864650334846e-11,1.5500722132050555
broken,-26,89.90618635106533,-39.02451888827054,1.0203393685515039e-11,5e-20,0.0,2.5792701308091637e-12,2.091837814077735e-10,5.625224730465561e-10,1.0163833878299918e-11,1.522385077506101
broken,-25,89.93086860131606,-36.91521053098904,5.286437954055145e-12,6e-20,0.0,1.1581846592889633e-12,1.1550582712516189e-10,2.9331204132176936e-10,5.101385104874184e-12,1.4977028272553667
broken,-24,89.95301103284358,-34.914668518657045,2.8990143619012088e-12,1.6e-19,0.0,5.542233338928781e-13,6.548361852765083e-11,1.6143530956469476e-10,2.7391307265071007e-12,1.4755603957278538
broken,-23,89.97297456974722,-33.00719637617024,1.6697754290362354e-12,0.0,0.0,2.7000623958883807e-13,4.18367562815547e-11,9.276845958083868e-11,1.5459163197956985e-12,1.455596858824208
broken,-22,89.99104486717508,-31.18015358522604,9.876544027065393e-13,1.1e-19,0.0,1.4210854715202004e-13,2.546585164964199e-11,5.547917680814862e-11,9.07334139492529e-13,1.4375265613963535
broken,-21,90.00745174999881,-29.423182077494605,6.181721801112872e-13,0.0,0.0,8.526512829121202e-14,1.4551915228366852e-11,3.4788172342814505e-11,5.593014024655767e-13,1.421119678572623
broken,-20,90.0223827046871,-27.727664978004682,4.050093593832571e-13,1.4e-19,0.0,4.263256414560601e-14,1.1823431123048067e-11,2.2509993868879974e-11,3.616271635592637e-13,1.406188723884327
broken,-19,90.03599248958747,-26.086337871109812,2.5579538487363607e-13,0.0,0.0,2.842170943040401e-14,5.4569682106375694e-12,1.432454155292362e-11,2.2914314707516465e-13,1.3925789389839593
